,제목,저자,출판사,출판일,링크
0,비욘드 더 스토리 BEYOND THE STORY,"강명석,방탄소년단 저",빅히트뮤직(BIGHIT MUSIC),2023년 07월,https://www.yes24.com/Product/Goods/119578103
1,세이노의 가르침,세이노(SayNo) 저,데이원,2023년 03월,https://www.yes24.com/Product/Goods/117014613
2,문과 남자의 과학 공부,유시민 저,돌베개,2023년 06월,https://www.yes24.com/Product/Goods/119608737
3,블루 아카이브 오피셜 아트웍스 한정판,신민섭 역/NEXON GAMES 감수,학산문화사,2023년 08월,https://www.yes24.com/Product/Goods/119709825
4,역행자 확장판,자청 저,웅진지식하우스,2023년 05월,https://www.yes24.com/Product/Goods/119120517
5,나는 어떻게 삶의 해답을 찾는가,고명환 저,라곰,2023년 06월,https://www.yes24.com/Product/Goods/119627529
6,사장학개론,김승호 저,스노우폭스북스,2023년 04월,https://www.yes24.com/Product/Goods/117958120
7,블루 아카이브 오피셜 아트웍스,신민섭 역/NEXON GAMES 감수,학산문화사,2023년 08월,https://www.yes24.com/Product/Goods/119709821
8,모든 삶은 흐른다,로랑스 드빌레르 저/이주영 역,피카(FIKA),2023년 04월,https://www.yes24.com/Product/Goods/118104953
9,도둑맞은 집중력,요한 하리 저/김하현 역,어크로스,2023년 04월,https://www.yes24.com/Product/Goods/118579613
10,메리골드 마음 세탁소,윤정은 저,북로망스,2023년 03월,https://www.yes24.com/Product/Goods/117716170
11,열혈강호 88,전극진 글/양재현 그림,대원,2023년 06월,https://www.yes24.com/Product/Goods/119628047
12,명탐정 코난 103,아오야마 고쇼 글그림,서울미디어코믹스(서울문화사),2023년 06월,https://www.yes24.com/Product/Goods/119693520
13,유연함의 힘,수잔 애쉬포드 저/김정혜 역,상상스퀘어,2023년 05월,https://www.yes24.com/Product/Goods/118755548
14,흔한남매의 흔한 호기심 9,"흔한남매 원저/유난희 그림/이정모,흔한컴퍼니 감수",미래엔아이세움,2023년 06월,https://www.yes24.com/Product/Goods/119458572
15,돈의 속성 300쇄 리커버,김승호 저,스노우폭스북스,2020년 06월,https://www.yes24.com/Product/Goods/90428162
16,꿀벌의 예언 1,베르나르 베르베르 저/전미연 역,열린책들,2023년 06월,https://www.yes24.com/Product/Goods/119609441
17,원씽 THE ONE THING,"게리 켈러,제이 파파산 저/구세희 역",비즈니스북스,2013년 08월,https://www.yes24.com/Product/Goods/9349031
18,최소한의 한국사,최태성 저,프런트페이지,2023년 06월,https://www.yes24.com/Product/Goods/119458052
19,설민석의 한국사 대모험 25,"스토리박스,설민석 글/정현희 그림/강석화 감수",단꿈아이,2023년 05월,https://www.yes24.com/Product/Goods/119178012
